name,description,category,subcategory,price,available
French Lavender Martini,Lavender-infused Titos Handmade vodka elderflower citrus lavender syrup,cocktails,cocktail_signature,16.00,true
Lemoncello Drop,Lemoncello vodka simple syrup lemon,cocktails,cocktail_signature,16.00,true
Blood Orange Old Fashioned,Templeton 6yr Parcs Private Barrel blood orange IPA caramel orange bitters,cocktails,cocktail_signature,16.00,true
Jalapeno-Pineapple Margarita,House-infused jalapeno tequila organic agave pineapple lime tajin rim,cocktails,cocktail_signature,16.00,true
Rose Spritz,Aperol lychee liqueur sparkling rose rose water,cocktails,cocktail_signature,16.00,true
Zest & Spice,Bourbon Amaro Abano Tuaca strawberry orange and star anise syrup served up,cocktails,cocktail_signature,16.00,true
Queen Bee,Empress 1908 Gin honey lavender syrup lemon served up,cocktails,cocktail_signature,16.00,true
French Kiss,Templeton Rye whisky lemon juice creme de cassis simple syrup ginger beer,cocktails,cocktail_signature,16.00,true
