name,description,category,subcategory,price,available
Kronenbourg 1664 Blanc,European Lager France 5.5%,beer,beer_draft,10.00,true
Duvel 6.66,Belgian Blonde Belgium 6.66%,beer,beer_draft,10.00,true
Second Chance Brewery Mulligan,Amber Ale San Diego 5.6%,beer,beer_draft,10.00,true
Second Chance Brewery New Day,West Coast Style IPA San Diego 6.5%,beer,beer_draft,10.00,true
Harland,Hazy IPA San Diego 6.5%,beer,beer_draft,10.00,true
Stella Artois,European Pilsner Belgium 5%,beer,beer_draft,10.00,true
